# source, target, time
1,0,1240915959
1,2,1240915979
1,0,1240915979
1,0,1240915999
1,2,1240916059
2,1,1240913099
2,0,1240913099
2,1,1240913199
2,1,1240913219
2,0,1240913219
2,3,1240914239
2,3,1240914259
2,1,1240914279
2,3,1240914279
2,9,1240914539
2,9,1240914839
2,10,1240914859
2,9,1240914859
2,9,1240914879
2,16,1240914879
2,10,1240914919
2,8,1240915219
2,5,1240915379
2,26,1240916019
2,10,1240916079
2,15,1240916079
3,4,1240913319
3,4,1240913339
3,4,1240913359
3,4,1240913379
3,4,1240913419
3,4,1240913439
3,4,1240913499
3,4,1240913519
3,4,1240913559
3,4,1240913579
3,4,1240913599
3,4,1240913619
3,4,1240913639
3,4,1240913659
3,4,1240913679
3,4,1240913699
3,4,1240913719
3,4,1240913739
3,6,1240913739
3,4,1240913759
3,4,1240913779
3,4,1240913799
3,13,1240913799
3,4,1240913819
3,13,1240913819
3,4,1240913839
3,13,1240913839
3,13,1240913859
3,4,1240913879
3,4,1240913899
3,13,1240913899
3,10,1240913919
3,10,1240913939
3,4,1240913939
3,4,1240913959
3,4,1240913979
3,4,1240913999
3,4,1240914019
3,4,1240914039
3,4,1240914059
3,4,1240914079
3,4,1240914119
3,4,1240914139
3,4,1240914179
3,4,1240914199
3,4,1240914219
3,2,1240914219
3,4,1240914259
3,16,1240914259
3,4,1240914279
3,4,1240914299
3,16,1240914299
3,4,1240914339
3,4,1240914379
3,4,1240914399
3,4,1240914419
3,4,1240914439
3,16,1240914439
3,4,1240914459
3,16,1240914459
3,4,1240914479
3,16,1240914479
3,4,1240914499
3,16,1240914499
3,4,1240914519
3,16,1240914519
3,4,1240914539
3,16,1240914539
3,4,1240914559
3,4,1240914579
3,4,1240914599
3,16,1240914599
3,4,1240914619
3,4,1240914639
3,16,1240914639
3,4,1240914679
3,4,1240914699
3,4,1240914719
3,4,1240914739
3,13,1240914739
3,16,1240914739
3,4,1240914759
3,16,1240914759
3,4,1240914779
3,16,1240914779
3,4,1240914799
3,7,1240914819
3,21,1240914839
3,4,1240914839
3,16,1240914839
3,8,1240914859
3,7,1240914859
3,21,1240914899
3,21,1240914919
3,9,1240914939
3,4,1240914939
3,16,1240914939
3,10,1240914959
3,4,1240914959
3,10,1240914979
3,16,1240914979
3,4,1240914999
3,16,1240914999
3,4,1240915019
3,16,1240915019
3,16,1240915039
3,4,1240915079
3,16,1240915079
3,16,1240915099
3,13,1240915139
3,16,1240915139
3,4,1240915179
3,16,1240915199
3,16,1240915219
3,16,1240915239
3,4,1240915259
3,4,1240915339
3,16,1240915339
3,16,1240915359
3,16,1240915379
3,16,1240915399
3,16,1240915419
3,4,1240915439
3,16,1240915439
3,16,1240915459
3,16,1240915479
3,16,1240915499
3,4,1240915519
3,16,1240915519
3,16,1240915539
3,16,1240915559
3,4,1240915579
3,16,1240915579
3,16,1240915599
3,4,1240915619
3,16,1240915619
3,4,1240915639
3,16,1240915639
3,4,1240915659
3,16,1240915659
3,28,1240915659
4,13,1240913839
4,13,1240913879
4,13,1240913919
4,1,1240914279
4,16,1240914319
4,3,1240914319
4,16,1240914399
4,16,1240914419
4,16,1240914439
4,16,1240914459
4,16,1240914639
4,16,1240914659
4,16,1240914719
4,16,1240914739
4,16,1240914779
4,13,1240914819
4,16,1240914819
4,16,1240914859
4,16,1240914879
4,13,1240914979
4,16,1240915119
4,16,1240915159
4,16,1240915259
4,16,1240915279
4,21,1240915719
4,16,1240915719
5,6,1240913479
5,6,1240913499
5,8,1240913519
5,6,1240913519
5,8,1240913539
5,6,1240913539
5,6,1240913559
5,6,1240913579
5,6,1240913599
5,6,1240913619
5,6,1240913639
5,6,1240913679
5,3,1240913699
5,4,1240913719
5,3,1240913719
5,4,1240913739
5,6,1240913739
5,6,1240913759
5,6,1240913779
5,6,1240913799
5,6,1240913879
5,6,1240913899
5,6,1240913919
5,6,1240913939
5,6,1240913959
5,6,1240913979
5,6,1240913999
5,6,1240914019
5,6,1240914039
5,6,1240914059
5,6,1240914079
5,6,1240914099
5,6,1240914119
5,6,1240914159
5,6,1240914179
5,6,1240914199
5,6,1240914239
5,6,1240914259
5,6,1240914279
5,8,1240914679
5,8,1240914699
5,10,1240914779
5,10,1240914799
5,8,1240915659
5,8,1240915679
5,8,1240915699
5,8,1240915819
5,8,1240915839
5,8,1240915859
5,6,1240916099
5,6,1240916119
5,6,1240916139
5,6,1240916159
5,6,1240916199
5,6,1240916219
5,6,1240916239
5,6,1240916259
5,6,1240916499
5,28,1240916539
5,6,1240916599
5,6,1240916619
5,6,1240916919
5,6,1240916999
5,6,1240917019
5,6,1240917059
5,6,1240917119
5,6,1240917159
5,6,1240917399
5,6,1240917439
5,6,1240917459
5,6,1240917479
5,6,1240917499
6,8,1240913539
6,8,1240913559
6,3,1240913759
6,5,1240914459
6,5,1240914479
6,5,1240914499
6,7,1240914499
6,5,1240914519
6,7,1240914519
6,5,1240914539
6,5,1240914559
6,5,1240914579
6,7,1240914579
6,5,1240914599
6,7,1240914599
6,7,1240914619
6,7,1240914639
6,5,1240914659
6,8,1240914679
6,5,1240914679
6,5,1240914719
6,14,1240914739
6,5,1240914739
6,7,1240914759
6,5,1240914799
6,7,1240914799
6,7,1240914819
6,3,1240914839
6,3,1240914859
6,8,1240914879
6,9,1240914919
6,5,1240914919
6,21,1240914979
6,5,1240914979
6,21,1240914999
6,5,1240914999
6,21,1240915019
6,5,1240915019
6,5,1240915039
6,5,1240915059
6,5,1240915119
6,5,1240915179
6,5,1240915199
6,5,1240915219
6,5,1240915239
6,5,1240915259
6,5,1240915279
6,5,1240915299
6,5,1240915319
6,5,1240915339
6,5,1240915359
6,5,1240915379
6,1,1240915379
6,2,1240915379
6,5,1240915459
6,5,1240915519
6,5,1240915539
6,5,1240915599
6,5,1240915619
6,8,1240915639
6,8,1240915659
6,5,1240915659
6,8,1240915679
6,5,1240915679
6,5,1240915699
6,5,1240915759
6,5,1240915779
6,8,1240915799
6,5,1240915799
6,8,1240915819
6,26,1240915819
6,5,1240915819
6,8,1240915839
6,5,1240915839
6,8,1240915859
6,26,1240915859
6,5,1240915859
6,8,1240915879
6,26,1240915879
6,5,1240915879
6,8,1240915899
6,5,1240915919
6,5,1240915959
6,5,1240915979
6,5,1240916019
6,5,1240916059
6,5,1240916079
6,35,1240916459
6,27,1240916639
7,5,1240913519
7,6,1240913519
7,6,1240913559
7,6,1240913579
7,8,1240913619
7,6,1240913619
7,10,1240913639
7,9,1240913639
7,6,1240913639
7,5,1240913679
7,8,1240913699
7,5,1240913699
7,6,1240913699
7,5,1240913719
7,8,1240913739
7,6,1240913739
7,5,1240913759
7,6,1240913759
7,11,1240913899
7,8,1240914019
7,6,1240914059
7,6,1240914079
7,6,1240914259
7,6,1240914319
7,6,1240914339
7,6,1240914359
7,6,1240914379
7,5,1240914499
7,5,1240914519
7,5,1240914579
7,5,1240914599
7,5,1240914639
7,5,1240914659
7,8,1240914679
7,8,1240914699
7,5,1240914719
7,5,1240914759
7,10,1240914779
7,10,1240914799
7,5,1240914819
7,8,1240914859
8,6,1240913519
8,4,1240913699
8,5,1240914759
8,7,1240914799
9,10,1240913619
9,10,1240913639
9,10,1240913659
9,10,1240913679
9,10,1240913699
9,10,1240913719
9,10,1240913739
9,10,1240913759
9,10,1240913779
9,10,1240913799
9,10,1240913819
9,10,1240913839
9,10,1240913859
9,10,1240913879
9,10,1240913899
9,10,1240913919
9,3,1240913919
9,10,1240913939
9,4,1240913939
9,3,1240913939
9,10,1240913959
9,10,1240913979
9,10,1240913999
9,10,1240914019
9,10,1240914079
9,10,1240914099
9,13,1240914099
9,10,1240914119
9,10,1240914239
9,10,1240914259
9,10,1240914299
9,10,1240914319
9,10,1240914339
9,10,1240914399
9,10,1240914419
9,10,1240914459
9,10,1240914479
9,10,1240914499
9,10,1240914519
9,10,1240914579
9,10,1240914639
9,10,1240914659
9,10,1240914679
9,13,1240914679
9,13,1240914719
9,10,1240914819
9,10,1240914839
9,10,1240914859
9,10,1240914879
9,10,1240914899
9,4,1240914939
9,13,1240914959
9,4,1240914979
9,10,1240914999
9,11,1240914999
9,10,1240915019
9,10,1240915039
9,10,1240915059
9,10,1240915079
9,10,1240915099
9,10,1240915139
9,10,1240915159
9,10,1240915179
9,10,1240915199
9,10,1240915219
9,10,1240915239
9,10,1240915259
9,10,1240915279
9,10,1240915299
9,10,1240915319
9,10,1240915379
9,10,1240915399
9,10,1240915479
9,10,1240915499
9,10,1240915819
9,10,1240915839
9,10,1240915899
9,10,1240915919
9,10,1240915939
9,10,1240915959
9,10,1240915999
9,10,1240916019
9,10,1240916039
9,10,1240916079
10,8,1240913639
10,4,1240913899
10,4,1240913919
10,13,1240913919
10,4,1240913939
10,13,1240914099
10,13,1240914679
10,13,1240914699
10,13,1240914939
10,13,1240914959
10,28,1240915959
11,4,1240913659
11,3,1240913659
11,3,1240913679
11,3,1240913699
11,13,1240913859
11,10,1240914999
12,13,1240913759
12,13,1240913779
12,3,1240913819
12,4,1240913839
12,13,1240913839
12,3,1240913839
12,4,1240913879
12,13,1240913879
12,4,1240913899
12,13,1240914199
12,13,1240914239
12,13,1240914319
12,2,1240914379
12,13,1240914399
12,13,1240914419
12,14,1240914499
12,13,1240914499
12,13,1240914519
12,13,1240914539
12,13,1240914739
12,16,1240914839
12,13,1240914899
12,13,1240914959
12,13,1240914999
12,13,1240915019
12,13,1240915039
12,13,1240915079
12,13,1240915119
12,13,1240915139
12,13,1240915199
12,13,1240915219
12,13,1240915239
12,13,1240915259
12,13,1240915279
12,13,1240915299
12,13,1240915339
12,13,1240915359
12,13,1240915379
12,13,1240915399
12,13,1240915419
12,13,1240915439
12,13,1240915459
12,13,1240915479
12,13,1240915619
12,13,1240915679
12,13,1240915739
12,13,1240915779
12,13,1240915819
12,13,1240915839
12,13,1240916059
12,13,1240916139
12,13,1240916219
12,13,1240916239
12,13,1240916259
12,13,1240916299
12,13,1240916359
12,13,1240916379
12,13,1240916639
12,13,1240916679
12,13,1240916719
12,13,1240916799
12,13,1240916819
12,13,1240916839
12,13,1240916879
12,13,1240916899
12,13,1240916919
12,13,1240916939
12,13,1240916999
12,13,1240917059
12,13,1240917079
12,13,1240917139
12,13,1240917159
12,13,1240917279
12,13,1240917299
12,13,1240917399
12,13,1240917639
12,13,1240917659
12,13,1240917799
12,39,1240917799
12,38,1240917799
12,13,1240917819
12,39,1240917819
12,38,1240917819
13,4,1240913799
13,4,1240913819
13,1,1240914039
13,12,1240914039
13,12,1240914079
13,10,1240914119
13,9,1240914119
13,12,1240914259
13,16,1240914299
13,12,1240915639
13,12,1240915659
13,12,1240915979
13,12,1240916039
13,12,1240916099
13,12,1240916119
13,12,1240916199
13,12,1240916279
13,12,1240916479
13,12,1240916499
13,12,1240916659
13,12,1240916699
13,12,1240916759
13,12,1240916779
13,12,1240916859
13,12,1240916959
13,12,1240917019
13,12,1240917099
13,12,1240917259
13,12,1240917319
13,12,1240917759
13,12,1240917779
13,39,1240917819
14,15,1240913959
14,15,1240913979
14,15,1240913999
14,15,1240914019
14,11,1240914139
14,13,1240914479
14,13,1240914499
14,5,1240914739
14,7,1240914759
15,0,1240914519
15,1,1240914539
15,16,1240914679
15,9,1240914939
15,3,1240914939
15,19,1240915239
15,16,1240915299
15,16,1240915319
15,16,1240915339
15,26,1240915419
15,9,1240916059
15,1,1240916059
15,2,1240916059
15,10,1240916079
15,9,1240916079
15,2,1240916099
16,4,1240914279
16,1,1240914279
16,3,1240914279
16,4,1240914299
16,3,1240914319
16,4,1240914339
16,4,1240914359
16,4,1240914379
16,3,1240914379
16,4,1240914479
16,4,1240914519
16,4,1240914539
16,4,1240914559
16,13,1240914699
16,13,1240914719
16,4,1240914759
16,13,1240914759
16,4,1240914799
16,13,1240914819
16,21,1240914859
16,4,1240914899
16,4,1240914919
16,4,1240914939
16,4,1240914979
16,13,1240914979
16,4,1240914999
16,4,1240915019
16,4,1240915039
16,4,1240915079
16,4,1240915179
16,4,1240915199
16,4,1240915219
16,4,1240915339
16,4,1240915559
16,4,1240915619
16,4,1240915639
16,21,1240915659
16,21,1240915719
16,21,1240915739
17,18,1240914439
17,18,1240914459
17,19,1240914479
17,19,1240914519
17,18,1240914559
17,19,1240914559
17,18,1240914579
17,19,1240914579
17,18,1240914599
17,19,1240914599
17,18,1240914619
17,18,1240914639
17,19,1240914639
17,19,1240914659
17,18,1240914779
17,18,1240915039
17,18,1240915059
17,18,1240915139
17,19,1240915139
17,18,1240915199
17,19,1240915199
17,18,1240915219
17,19,1240915219
17,19,1240915279
17,18,1240915319
17,19,1240915319
17,18,1240915439
17,18,1240915459
17,18,1240915479
17,19,1240915479
17,18,1240915519
17,19,1240915519
17,19,1240915539
17,18,1240915599
17,19,1240915599
17,18,1240915619
17,18,1240915779
17,18,1240915799
17,18,1240916079
17,18,1240916159
17,19,1240916159
17,19,1240916219
18,19,1240914479
18,19,1240914499
18,19,1240914639
18,19,1240914659
18,19,1240915459
18,19,1240915499
18,19,1240915559
18,17,1240915719
18,17,1240915739
18,17,1240915759
18,17,1240915859
18,17,1240916099
18,17,1240916119
18,17,1240916179
18,30,1240916199
18,19,1240916199
18,17,1240916219
18,19,1240916219
19,21,1240915479
19,30,1240916199
20,21,1240914559
20,22,1240914559
20,21,1240914579
20,22,1240914579
20,22,1240914599
20,21,1240914619
20,22,1240914619
20,22,1240914639
20,22,1240914659
20,22,1240914679
20,21,1240914699
20,22,1240914699
20,21,1240914719
20,22,1240914739
20,22,1240914779
20,21,1240914799
20,22,1240914799
20,22,1240914819
20,22,1240914859
20,3,1240914859
20,16,1240914879
20,21,1240914919
20,22,1240914919
20,3,1240914919
20,21,1240914959
20,22,1240914959
20,22,1240914979
20,21,1240915019
20,22,1240915019
20,21,1240915059
20,22,1240915059
20,0,1240915059
20,21,1240915119
20,21,1240915139
20,22,1240915159
20,21,1240915159
20,22,1240915199
20,21,1240915319
20,22,1240915319
20,22,1240915339
20,21,1240915359
20,21,1240915379
20,22,1240915379
20,21,1240915499
20,22,1240915499
20,21,1240915519
20,22,1240915519
20,21,1240915539
20,22,1240915539
20,22,1240915559
20,22,1240915579
20,21,1240915599
20,22,1240915599
20,22,1240915639
20,22,1240915659
20,21,1240915679
20,21,1240915719
20,4,1240915719
20,16,1240915719
21,28,1240915639
22,21,1240914559
22,21,1240914579
22,21,1240914599
22,21,1240914619
22,21,1240914639
22,21,1240914679
22,21,1240914699
22,21,1240914799
22,21,1240914819
22,21,1240914859
22,21,1240914899
22,21,1240914919
22,21,1240914959
22,21,1240914979
22,21,1240915059
22,21,1240915079
22,21,1240915099
22,21,1240915119
22,21,1240915139
22,21,1240915239
22,21,1240915259
22,25,1240915279
22,21,1240915359
22,21,1240915379
22,21,1240915419
22,21,1240915459
22,19,1240915479
22,21,1240915499
22,21,1240915519
22,21,1240915539
22,21,1240915559
22,21,1240915579
22,21,1240915599
22,27,1240915599
22,21,1240915619
22,21,1240915639
22,21,1240915659
22,16,1240915679
23,21,1240914579
23,22,1240914579
23,20,1240914579
23,21,1240914599
23,20,1240914599
23,21,1240914639
23,22,1240914659
23,21,1240914679
23,22,1240914679
23,20,1240914679
23,21,1240914699
23,22,1240914699
23,20,1240914699
23,21,1240914719
23,20,1240914719
23,22,1240914739
23,21,1240914759
23,21,1240914779
23,22,1240914779
23,20,1240914779
23,21,1240914819
23,21,1240914839
23,22,1240914859
23,21,1240914899
23,22,1240914899
23,21,1240914939
23,21,1240914999
23,21,1240915019
23,21,1240915039
23,21,1240915059
23,20,1240915059
23,0,1240915059
23,21,1240915119
23,21,1240915139
23,20,1240915159
23,21,1240915179
23,21,1240915239
23,21,1240915259
23,21,1240915279
23,21,1240915299
23,20,1240915339
23,20,1240915379
23,21,1240915399
23,22,1240915399
23,22,1240915419
23,22,1240915439
23,21,1240915479
23,21,1240915499
23,21,1240915519
23,21,1240915539
23,22,1240915559
23,20,1240915559
23,21,1240915579
23,20,1240915579
23,21,1240915619
23,22,1240915619
23,27,1240915619
23,21,1240915639
23,21,1240915659
23,22,1240915659
23,22,1240915679
23,16,1240915679
23,21,1240915719
23,4,1240915719
23,16,1240915719
23,20,1240915719
23,21,1240915739
23,16,1240915739
24,25,1240914899
24,25,1240914979
24,25,1240914999
24,25,1240915059
24,25,1240915079
24,25,1240915179
24,11,1240915199
24,25,1240915299
24,25,1240915339
24,25,1240915379
24,25,1240915399
24,25,1240915419
24,25,1240915439
24,25,1240915459
24,25,1240915479
24,25,1240915499
24,25,1240915519
24,25,1240915559
24,30,1240915699
24,25,1240915699
24,30,1240915719
25,13,1240915099
26,4,1240915379
26,19,1240915439
26,8,1240915759
26,8,1240915779
26,8,1240915799
26,8,1240915819
26,5,1240915819
26,8,1240915859
26,5,1240915859
26,8,1240915879
26,5,1240915879
26,41,1240919039
26,44,1240919099
26,51,1240919599
27,28,1240915579
27,21,1240915619
27,28,1240915639
27,28,1240915659
27,28,1240915699
27,28,1240915719
27,28,1240915759
27,28,1240915819
27,28,1240915879
27,9,1240915919
27,28,1240915919
27,28,1240915959
27,28,1240915979
27,28,1240916019
27,28,1240916039
27,28,1240916099
27,28,1240916139
27,28,1240916159
27,28,1240916199
27,28,1240916219
27,28,1240916239
27,30,1240916259
27,29,1240916259
27,28,1240916259
27,28,1240916279
27,28,1240916319
27,28,1240916339
27,33,1240916359
27,28,1240916359
27,28,1240916399
27,28,1240916459
27,28,1240916479
27,5,1240916519
27,28,1240916519
27,28,1240916539
27,28,1240916559
27,28,1240916579
27,28,1240916599
27,28,1240916619
27,28,1240916659
27,28,1240916679
27,28,1240916739
27,28,1240916779
27,28,1240916799
27,28,1240916859
27,28,1240916879
27,28,1240916919
27,28,1240916959
27,28,1240917019
27,28,1240917039
27,28,1240917059
27,28,1240917079
27,28,1240917119
27,28,1240917139
27,28,1240917159
27,28,1240917219
27,28,1240917239
27,28,1240917259
27,28,1240917319
27,28,1240917359
27,28,1240917379
27,28,1240917399
27,28,1240917419
28,21,1240915599
28,27,1240915599
28,27,1240915619
28,27,1240915679
28,27,1240915739
28,27,1240915779
28,27,1240915799
28,27,1240915839
28,27,1240915899
28,27,1240915939
28,27,1240915999
28,27,1240916059
28,27,1240916079
28,27,1240916119
28,27,1240916179
28,27,1240916379
28,27,1240916419
28,27,1240916439
28,27,1240916499
28,27,1240916639
28,27,1240916699
28,27,1240916719
28,27,1240916759
28,27,1240916819
28,27,1240916839
28,27,1240916899
28,27,1240916939
28,27,1240916979
28,27,1240916999
28,27,1240917179
28,27,1240917199
28,27,1240917339
29,30,1240915619
29,30,1240915639
29,30,1240915659
29,30,1240915679
29,30,1240915699
29,30,1240915719
29,30,1240915739
29,30,1240915759
29,30,1240915779
29,30,1240915799
29,30,1240915819
29,30,1240915839
29,30,1240915859
29,30,1240915879
29,30,1240915899
29,30,1240915919
29,30,1240915939
29,30,1240915999
29,30,1240916019
29,30,1240916039
29,30,1240916059
29,30,1240916199
29,30,1240916239
29,30,1240916259
29,30,1240916479
29,30,1240916619
29,30,1240916659
29,30,1240916699
29,30,1240916719
29,30,1240916739
29,30,1240916759
29,30,1240916779
29,30,1240916799
29,30,1240916819
29,30,1240916839
29,30,1240916859
29,30,1240916899
29,30,1240916939
29,30,1240916959
29,30,1240916979
29,30,1240916999
29,30,1240917019
29,30,1240917039
29,41,1240917079
30,29,1240916179
30,29,1240916219
30,28,1240916259
30,36,1240916559
30,29,1240916599
30,29,1240916639
30,29,1240916879
30,29,1240916919
30,29,1240917079
30,34,1240917299
30,34,1240917379
30,34,1240917619
30,34,1240918059
30,34,1240918199
30,34,1240918239
30,43,1240918399
30,34,1240918459
30,34,1240918619
30,34,1240918639
30,34,1240919399
31,30,1240915639
31,29,1240915639
31,30,1240915659
31,30,1240915679
31,29,1240915679
31,24,1240915699
31,25,1240915699
31,27,1240915979
31,26,1240916019
31,28,1240916299
32,33,1240916119
32,33,1240916139
32,33,1240916159
32,33,1240916179
32,33,1240916199
32,33,1240916219
32,33,1240916239
32,33,1240916259
32,33,1240916279
32,33,1240916299
32,33,1240916319
32,33,1240916399
32,33,1240916419
32,33,1240916439
32,36,1240916439
32,33,1240916459
32,33,1240916479
32,33,1240916499
32,33,1240916519
32,33,1240916539
32,33,1240916559
32,31,1240916559
32,33,1240916579
32,33,1240916599
32,33,1240916619
32,33,1240916639
32,33,1240916719
33,31,1240916299
33,31,1240916339
33,28,1240916359
33,8,1240916379
33,27,1240916379
33,36,1240916519
33,31,1240916559
33,32,1240916659
33,32,1240916699
33,26,1240916739
33,39,1240916739
33,32,1240916759
33,32,1240916779
34,35,1240916179
34,35,1240916959
34,35,1240917039
34,35,1240917239
34,30,1240917279
34,30,1240917539
34,30,1240918119
34,30,1240918219
34,30,1240918359
34,30,1240918439
34,30,1240918479
34,30,1240918659
34,30,1240919239
34,30,1240919359
34,30,1240921079
34,30,1240921519
34,30,1240921539
34,30,1240921599
34,30,1240921619
34,30,1240921639
34,30,1240921659
34,30,1240921679
34,30,1240921699
36,30,1240916579
36,29,1240916579
37,38,1240916659
37,38,1240916699
37,38,1240916719
37,33,1240916739
37,26,1240916739
37,38,1240916759
37,38,1240916899
37,38,1240917119
37,38,1240917139
37,38,1240917179
37,38,1240917199
37,38,1240917239
37,38,1240917299
37,38,1240917319
37,38,1240917359
37,38,1240917379
37,38,1240917619
37,42,1240917679
37,38,1240917699
37,30,1240917719
37,38,1240917719
37,38,1240917739
37,30,1240917779
37,38,1240917779
37,13,1240917799
37,39,1240917799
37,12,1240917799
37,38,1240917799
37,39,1240917819
37,38,1240917819
37,12,1240917819
37,13,1240917819
38,37,1240916679
38,33,1240916739
38,39,1240916739
38,37,1240916739
38,39,1240916759
38,37,1240916799
38,37,1240917159
38,37,1240917219
38,37,1240917259
38,37,1240917279
38,37,1240917339
38,37,1240917399
38,37,1240917419
38,37,1240917439
38,37,1240917459
38,37,1240917519
38,37,1240917539
38,37,1240917579
38,43,1240917659
38,42,1240917679
38,42,1240917719
38,37,1240917759
38,39,1240917799
38,13,1240917799
38,13,1240917819
38,39,1240917819
39,30,1240916719
39,13,1240917799
40,41,1240916819
40,41,1240916979
40,41,1240916999
40,41,1240917199
40,41,1240919679
40,41,1240919839
40,41,1240919959
40,41,1240920039
40,41,1240920079
40,41,1240920159
40,41,1240920179
40,41,1240920459
40,41,1240920559
40,78,1240920999
41,40,1240916839
41,40,1240916859
41,30,1240916959
41,39,1240917099
41,40,1240917099
41,40,1240917119
41,35,1240917199
41,40,1240917219
41,30,1240917279
41,40,1240917439
41,38,1240917619
41,40,1240917699
41,40,1240918139
41,40,1240918219
41,40,1240918239
41,46,1240918299
41,40,1240918299
41,40,1240919039
41,40,1240919059
41,40,1240919159
41,40,1240919419
41,40,1240919579
41,40,1240919619
41,40,1240919759
41,40,1240919859
41,40,1240919939
41,40,1240920099
41,40,1240920119
41,40,1240920139
41,40,1240920199
41,40,1240920239
41,40,1240920299
41,40,1240920319
41,40,1240920359
41,40,1240920379
41,40,1240920419
41,40,1240920439
41,40,1240920499
41,40,1240920539
42,43,1240917459
42,43,1240917479
42,43,1240917499
42,43,1240917539
42,43,1240917579
42,43,1240917619
42,43,1240917639
42,43,1240917659
42,43,1240917679
42,43,1240917699
42,43,1240917719
42,43,1240917739
42,43,1240917759
42,43,1240917779
42,43,1240917799
42,43,1240917819
42,43,1240917839
42,43,1240917859
42,43,1240917879
42,43,1240917899
42,43,1240917919
42,43,1240917939
42,43,1240917959
42,43,1240917979
42,43,1240917999
42,43,1240918019
42,43,1240918039
42,43,1240918099
42,43,1240918139
42,43,1240918159
42,43,1240918179
42,43,1240918199
42,43,1240918219
42,43,1240918279
42,43,1240918299
42,43,1240918359
42,43,1240918379
42,30,1240918399
42,43,1240918419
42,43,1240918439
42,43,1240918459
42,43,1240918479
43,42,1240917519
43,42,1240917559
43,41,1240918279
44,45,1240917859
44,45,1240917879
44,45,1240917959
44,45,1240917979
44,45,1240917999
44,45,1240918079
44,45,1240918099
44,45,1240918179
44,45,1240918319
44,45,1240918339
44,45,1240918559
44,45,1240918779
44,45,1240918799
44,45,1240918819
44,45,1240918839
44,45,1240918859
44,45,1240918879
44,45,1240918919
44,45,1240918939
44,45,1240918959
44,45,1240918979
44,45,1240918999
44,45,1240919019
44,45,1240919039
44,45,1240919059
44,45,1240919079
44,45,1240919099
44,45,1240919119
44,45,1240919139
44,45,1240919159
44,45,1240919179
44,45,1240919199
44,45,1240919219
44,45,1240919239
44,45,1240919259
44,45,1240919279
44,45,1240919299
44,45,1240919319
44,45,1240919339
44,45,1240919359
44,45,1240919379
44,45,1240919399
44,45,1240919419
44,45,1240919439
44,45,1240919459
44,45,1240919479
44,45,1240919499
44,45,1240919519
44,45,1240919539
44,45,1240919559
44,45,1240919579
44,45,1240919599
44,45,1240919619
44,45,1240919679
44,45,1240919699
44,45,1240919719
44,45,1240919739
44,45,1240919759
44,45,1240919779
44,45,1240919839
44,45,1240919859
44,45,1240919879
44,45,1240919899
44,45,1240919919
44,45,1240919939
44,45,1240919999
44,45,1240920019
44,45,1240920039
44,45,1240920079
44,45,1240920099
44,45,1240920119
44,45,1240920179
44,45,1240920199
44,45,1240920219
44,45,1240920239
44,45,1240920259
44,45,1240920279
