# index, name, _pos
254,,"array([ 2.93556642, -0.72821174])"
255,,"array([ 2.92627348, -0.65271551])"
256,,"array([ 2.96928444, -0.7362798 ])"
257,,"array([ 2.94701094, -0.71784399])"
258,,"array([ 3.03382642, -0.89375133])"
259,,"array([ 2.55388466, -0.79074457])"
260,,"array([ 2.55733861, -0.75897283])"
261,,"array([ 2.54234036, -0.76521762])"
262,,"array([ 2.56072299, -0.77545685])"
263,,"array([ 2.54063883, -0.78174962])"
264,,"array([ 2.62871007, -0.81709613])"
265,,"array([ 3.0077621 , -0.76080782])"
266,,"array([ 2.83446269, -0.61401988])"
267,,"array([ 2.84510648, -0.73913919])"
268,,"array([ 3.06661322, -0.8492279 ])"
269,,"array([ 3.00022982, -0.73860804])"
270,,"array([ 2.97847353, -0.72598854])"
271,,"array([ 2.99838877, -0.76283762])"
272,,"array([ 2.97314702, -0.72763717])"
273,,"array([ 3.00982981, -0.73905389])"
274,,"array([ 2.99660533, -0.7352523 ])"
275,,"array([ 3.00226778, -0.75952755])"
276,,"array([ 3.00387688, -0.74212715])"
277,,"array([ 2.98018314, -0.75441044])"
278,,"array([ 2.98996483, -0.72836837])"
279,,"array([ 2.99079443, -0.74348457])"
280,,"array([ 3.00041294, -0.7527543 ])"
281,,"array([ 2.89941367, -0.61539492])"
282,,"array([ 2.88033883, -0.60306829])"
283,,"array([ 2.87974663, -0.58771469])"
284,,"array([ 2.90226167, -0.60954985])"
285,,"array([ 2.90367107, -0.59693056])"
286,,"array([ 2.90182446, -0.62486491])"
287,,"array([ 2.90352463, -0.63714199])"
288,,"array([ 2.90324891, -0.60445046])"
289,,"array([ 2.87022267, -0.5942999 ])"
290,,"array([ 2.89701045, -0.62010242])"
291,,"array([ 2.90777883, -0.60047095])"
292,,"array([ 2.89843916, -0.6006315 ])"
293,,"array([ 2.82377361, -0.94193017])"
294,,"array([ 2.79728294, -0.93120143])"
295,,"array([ 2.80952805, -0.93898501])"
296,,"array([ 2.80293123, -0.95557503])"
297,,"array([ 2.79346293, -0.94524501])"
298,,"array([ 2.81699826, -0.95449183])"
299,,"array([ 2.81979047, -0.91085435])"
300,,"array([ 2.91025171, -0.6179088 ])"
301,,"array([ 3.04761527, -0.73155733])"
302,,"array([ 3.10485686, -0.23080013])"
303,,"array([ 3.12392813, -0.23740089])"
304,,"array([ 2.95164099, -0.66713383])"
305,,"array([ 2.95076116, -0.65500168])"
306,,"array([ 2.97556016, -0.66734988])"
307,,"array([ 2.91511571, -0.71102615])"
308,,"array([ 2.93854594, -0.66748879])"
309,,"array([ 2.97171206, -0.67399956])"
310,,"array([ 2.94851668, -0.69061864])"
311,,"array([ 2.83330176, -0.71639549])"
312,,"array([ 2.98254097, -0.72282703])"
313,,"array([ 2.98476388, -0.72846854])"
314,,"array([ 2.98241013, -0.73615072])"
315,,"array([ 2.99896119, -0.74295862])"
316,,"array([ 2.41521634, -0.562811  ])"
317,,"array([ 2.40974264, -0.54398895])"
318,,"array([ 2.39090849, -0.54895713])"
319,,"array([ 3.00112621, -0.73293136])"
320,,"array([ 2.85259876, -0.79651592])"
321,,"array([ 2.84695164, -0.78687139])"
322,,"array([ 2.85298289, -0.80841604])"
323,,"array([ 2.86305935, -0.79858017])"
324,,"array([ 2.84293179, -0.76764209])"
325,,"array([ 2.83629911, -0.75825865])"
326,,"array([ 2.98248953, -0.75873885])"
327,,"array([ 2.99267667, -0.76345587])"
328,,"array([ 2.98076622, -0.7486028 ])"
329,,"array([ 3.00323907, -0.76559616])"
330,,"array([ 2.99498065, -0.72390736])"
331,,"array([ 3.00907164, -0.75153279])"
332,,"array([ 2.9700161 , -0.75394257])"
333,,"array([ 2.99020929, -0.73800121])"
334,,"array([ 2.98527559, -0.75404631])"
335,,"array([ 3.00125993, -0.72626115])"
336,,"array([ 2.99201388, -0.73323357])"
337,,"array([ 3.00490611, -0.73653909])"
338,,"array([ 2.98016389, -0.7314236 ])"
339,,"array([ 2.98623489, -0.76352717])"
340,,"array([ 2.99643268, -0.76822589])"
341,,"array([ 2.99039191, -0.75427525])"
342,,"array([ 3.00466399, -0.7482916 ])"
343,,"array([ 2.9717473 , -0.76393564])"
344,,"array([ 2.97485987, -0.75777809])"
345,,"array([ 3.01462351, -0.74236564])"
346,,"array([ 2.99533787, -0.75215451])"
347,,"array([ 2.97741772, -0.76167598])"
348,,"array([ 3.00011786, -0.74841241])"
349,,"array([ 2.96953854, -0.75925723])"
350,,"array([ 2.99626531, -0.72960166])"
351,,"array([ 2.98934506, -0.72351279])"
352,,"array([ 2.95507078, -0.73955973])"
353,,"array([ 2.97738847, -0.74524911])"
354,,"array([ 2.99078774, -0.7487299 ])"
355,,"array([ 3.01503142, -0.74880739])"
356,,"array([ 3.00880255, -0.74500216])"
357,,"array([ 2.98966231, -0.66447852])"
358,,"array([ 2.97983298, -0.61721748])"
359,,"array([ 2.92879307, -0.71042553])"
360,,"array([ 2.9082896 , -0.69627858])"
361,,"array([ 2.93904712, -0.74778651])"
362,,"array([ 2.92848338, -0.6995145 ])"
363,,"array([ 2.8737153 , -0.70915605])"
364,,"array([ 2.8819164 , -0.72873543])"
365,,"array([ 2.82104155, -0.20129882])"
366,,"array([ 2.89024817, -0.83770738])"
367,,"array([ 3.10800066, -0.83142505])"
368,,"array([ 2.89193927, -0.72403923])"
369,,"array([ 2.90461972, -0.71643374])"
370,,"array([ 2.89185644, -0.73961944])"
371,,"array([ 2.90953735, -0.72259729])"
372,,"array([ 2.89524051, -0.74744586])"
373,,"array([ 2.91429259, -0.81350254])"
374,,"array([ 2.90689375, -0.83177479])"
375,,"array([ 2.9155185 , -0.84174904])"
376,,"array([ 2.85872676, -0.72780548])"
377,,"array([ 2.99227776, -0.61559661])"
378,,"array([ 2.94420656, -0.61595133])"
379,,"array([ 2.96252413, -0.72785733])"
380,,"array([ 3.00031146, -0.66740446])"
381,,"array([ 2.92948121, -0.68632135])"
382,,"array([ 2.99613433, -0.67747235])"
383,,"array([ 3.00301876, -0.68426139])"
384,,"array([ 2.8618197 , -0.74809741])"
385,,"array([ 2.60336873, -0.8603791 ])"
386,,"array([ 2.87008749, -0.95175934])"
387,,"array([ 2.87403184, -0.88957203])"
388,,"array([ 2.98941228, -0.57708054])"
389,,"array([ 2.97798344, -0.57368067])"
390,,"array([ 3.00655359, -0.59296526])"
391,,"array([ 3.00007597, -0.56932776])"
392,,"array([ 2.99325317, -0.59340463])"
393,,"array([ 2.98190244, -0.58644083])"
394,,"array([ 2.98747686, -0.56571583])"
395,,"array([ 2.99866594, -0.58336553])"
396,,"array([ 3.00938358, -0.57965616])"
397,,"array([ 2.83429286, -0.65248184])"
398,,"array([ 2.83763569, -0.63854522])"
399,,"array([ 2.70065885, -1.25001636])"
400,,"array([ 2.68172085, -1.24185445])"
401,,"array([ 2.91083228, -0.68324707])"
402,,"array([ 2.8259374, -0.8929379])"
403,,"array([ 2.92877782, -0.60888078])"
404,,"array([ 2.93263685, -0.62669811])"
405,,"array([ 2.935028  , -0.61427174])"
406,,"array([ 2.91395341, -0.60367306])"
407,,"array([ 2.93252017, -0.6023524 ])"
408,,"array([ 2.90434633, -0.6187435 ])"
409,,"array([ 2.89620648, -0.61065255])"
410,,"array([ 2.92773844, -0.5967955 ])"
411,,"array([ 2.92162553, -0.59612717])"
412,,"array([ 2.91973073, -0.60192309])"
413,,"array([ 2.92267079, -0.6198365 ])"
414,,"array([ 2.89538362, -0.60520877])"
415,,"array([ 2.92826344, -0.62160238])"
416,,"array([ 2.92244159, -0.60730747])"
417,,"array([ 2.92579291, -0.60288624])"
418,,"array([ 2.91859725, -0.61586847])"
419,,"array([ 2.93508666, -0.62011764])"
420,,"array([ 2.93524933, -0.60798744])"
421,,"array([ 2.91387804, -0.59741843])"
422,,"array([ 2.91922861, -0.62517987])"
423,,"array([ 2.91422086, -0.62805852])"
424,,"array([ 2.9093957 , -0.60743635])"
425,,"array([ 2.91687848, -0.60840528])"
426,,"array([ 2.91218473, -0.63424389])"
427,,"array([ 2.90603676, -0.65259811])"
428,,"array([ 2.9096792 , -0.62435599])"
429,,"array([ 2.90717949, -0.61302211])"
430,,"array([ 2.90482335, -0.8918956 ])"
431,,"array([ 3.04295344, -0.78407517])"
432,,"array([ 2.9866325 , -0.64562676])"
433,,"array([ 2.97144807, -0.6415879 ])"
434,,"array([ 2.98498659, -0.67544133])"
435,,"array([ 2.96429168, -0.65375284])"
436,,"array([ 2.97695045, -0.65251575])"
437,,"array([ 2.70570797, -0.86296462])"
438,,"array([ 2.70019935, -0.87997895])"
439,,"array([ 3.06637971, -0.78600042])"
440,,"array([ 3.05398353, -0.79724117])"
441,,"array([ 3.45830939, -0.80461439])"
442,,"array([ 3.46020962, -0.78017585])"
443,,"array([ 2.89480095, -0.80294902])"
444,,"array([ 2.89250944, -0.82072568])"
445,,"array([ 2.90209889, -0.86075659])"
446,,"array([ 2.76780089, -0.80185434])"
447,,"array([ 2.76833466, -0.78624952])"
448,,"array([ 2.96249096, -0.78193127])"
449,,"array([ 3.06730476, -0.66523865])"
450,,"array([ 3.01830168, -0.68106893])"
451,,"array([ 3.07177559, -0.73306936])"
452,,"array([ 3.08401448, -0.74341634])"
453,,"array([ 3.07811274, -0.75701646])"
454,,"array([ 3.07011947, -0.7467005 ])"
455,,"array([ 2.80947554, -0.7919142 ])"
456,,"array([ 2.79577316, -0.75228826])"
457,,"array([ 2.80724734, -0.73093585])"
458,,"array([ 2.79262168, -0.73157124])"
459,,"array([ 3.01986113, -0.66254536])"
460,,"array([ 3.0106237 , -0.67204367])"
461,,"array([ 2.7924154 , -0.71116229])"
462,,"array([ 2.79518017, -0.6973816 ])"
463,,"array([ 2.81092805, -0.97782641])"
464,,"array([ 2.83112539, -0.97417234])"
465,,"array([ 2.95206584, -0.83228905])"
466,,"array([ 2.88208622, -0.52135989])"
467,,"array([ 2.5723075 , -0.32329409])"
468,,"array([ 2.55493272, -0.34425313])"
469,,"array([ 2.59941459, -0.32259099])"
470,,"array([ 3.06883252, -0.61317808])"
471,,"array([ 3.0805586 , -0.62787591])"
472,,"array([ 2.9395032 , -0.77576643])"
473,,"array([ 2.94954946, -0.791637  ])"
474,,"array([ 2.94917445, -0.77077451])"
475,,"array([ 2.94080027, -0.76730472])"
476,,"array([ 2.95856813, -0.79258187])"
477,,"array([ 2.95685917, -0.7754703 ])"
478,,"array([ 2.94909648, -0.77787642])"
479,,"array([ 2.95455016, -0.78444884])"
480,,"array([ 2.94453267, -0.78439838])"
481,,"array([ 3.08363104, -0.68769953])"
482,,"array([ 2.8074302 , -0.90156969])"
483,,"array([ 2.76757545, -0.76449381])"
484,,"array([ 3.06208468, -0.76645079])"
485,,"array([ 2.9459028 , -0.58825602])"
486,,"array([ 3.07550219, -0.70760606])"
487,,"array([ 3.04941525, -0.71323719])"
488,,"array([ 3.09982097, -0.75800479])"
489,,"array([ 2.88380669, -0.70899097])"
490,,"array([ 2.81779592, -0.69895601])"
491,,"array([ 2.81333261, -0.71396618])"
492,,"array([ 2.88440917, -0.85347544])"
493,,"array([ 3.0456092, -0.8449564])"
494,,"array([ 2.56294015, -0.29850451])"
495,,"array([ 3.08335789, -0.72920442])"
496,,"array([ 3.04362542, -0.9209503 ])"
497,,"array([ 2.7223776 , -0.88029322])"
498,,"array([ 2.95994978, -0.68963245])"
499,,"array([ 2.7129354 , -0.79421843])"
500,,"array([ 2.71495496, -0.81076935])"
501,,"array([ 2.83356087, -0.81771391])"
502,,"array([ 3.03247327, -0.62908302])"
503,,"array([ 2.89795337, -0.57627559])"
504,,"array([ 2.88684062, -0.58042456])"
505,,"array([ 2.75278884, -0.93747553])"
506,,"array([ 2.76702568, -0.94811417])"
507,,"array([ 2.76326959, -0.92488197])"
508,,"array([ 3.05870956, -0.70506248])"
509,,"array([ 3.05932224, -0.71590003])"
510,,"array([ 3.05210061, -0.69638945])"
511,,"array([ 3.04436458, -0.70259539])"
512,,"array([ 2.83026584, -0.67175229])"
513,,"array([ 3.06609614, -0.95525558])"
