# index, meta, _pos
139,java.awt.CheckboxMenuItem,"array([ 6.19648052, -2.93589657])"
140,java.awt.MenuItem,"array([ 6.2520464 , -2.97897617])"
141,java.awt.MenuShortcut,"array([ 6.51672224, -2.95784862])"
142,java.awt.MenuContainer,"array([ 7.32443361, -3.00496539])"
143,java.awt.peer.MenuComponentPeer,"array([ 7.60972891, -3.23951067])"
144,java.awt.CheckboxMenuItem$AccessibleAWTCheckboxMenuItem,"array([ 5.52114261, -2.80459142])"
145,java.awt.MenuItem$AccessibleAWTMenuItem,"array([ 5.53340298, -2.60126126])"
146,java.awt.Choice,"array([ 5.97265775, -2.74797209])"
147,java.awt.Choice$AccessibleAWTChoice,"array([ 5.68177571, -2.77405958])"
148,java.awt.Paint,"array([ 6.74035931, -0.95668997])"
149,java.awt.color.ColorSpace,"array([ 5.84954374, -1.41934935])"
150,java.awt.PaintContext,"array([ 6.67367717, -0.71056988])"
151,java.awt.geom.Rectangle2D,"array([ 6.01964139, -1.49577695])"
152,java.awt.geom.AffineTransform,"array([ 5.96405099, -1.4239907 ])"
153,java.awt.ColorPaintContext,"array([ 5.96424772, -0.87865307])"
154,java.awt.image.Raster,"array([ 5.99111194, -1.45406867])"
155,java.awt.Component$1,"array([ 5.70460337, -1.8966236 ])"
156,java.awt.Component$2,"array([ 3.95623785, -1.43492255])"
157,java.awt.Component$3,"array([ 3.86630731, -2.07380103])"
158,java.lang.Boolean,"array([ 4.51889595, -2.90897073])"
159,java.awt.Component$4,"array([ 4.09371103, -1.51468708])"
160,java.awt.Component$AWTTreeLock,"array([ 2.99302618, -2.4160365 ])"
161,java.awt.Component$AccessibleAWTComponent$AccessibleAWTComponentHandler,"array([ 7.17085155, -2.936335  ])"
162,java.awt.Component$AccessibleAWTComponent$AccessibleAWTFocusHandler,"array([ 6.30402827, -1.11843338])"
163,java.lang.Enum,"array([ 4.81972591, -2.50017741])"
164,java.awt.Component$BltBufferStrategy,"array([ 7.20410077, -1.40356954])"
165,java.awt.Component$BltSubRegionBufferStrategy,"array([ 7.27006856, -1.48134353])"
166,java.awt.Component$DummyRequestFocusController,"array([ 6.82134711, -1.45080656])"
167,java.awt.Component$FlipBufferStrategy,"array([ 7.36154072, -1.82474087])"
168,java.awt.Component$FlipSubRegionBufferStrategy,"array([ 7.47979021, -2.31635302])"
169,java.awt.Component$NativeInLightFixer,"array([ 7.23896638, -2.60184332])"
170,java.awt.Component$SingleBufferStrategy,"array([ 7.36077127, -2.49798187])"
171,java.util.ResourceBundle,"array([ 5.33732375, -2.69505133])"
172,java.awt.image.WritableRaster,"array([ 5.87863897, -1.54298595])"
173,java.awt.Container$1,"array([ 4.35934533, -1.23613704])"
174,java.awt.Container$2,"array([ 5.09431673, -0.62007705])"
175,java.lang.Runnable,"array([ 4.2814222 , -1.63644299])"
176,java.awt.Container$2$1,"array([ 4.06618267, -0.49120035])"
177,java.awt.Conditional,"array([3.48583236, 0.43183293])"
178,java.awt.Container$AccessibleAWTContainer,"array([ 5.50756753, -2.38622245])"
179,java.awt.Container$AccessibleAWTContainer$AccessibleContainerHandler,"array([ 7.31201766, -2.4377056 ])"
180,java.awt.Container$DropTargetEventTargetFilter,"array([ 7.35459813, -2.31289121])"
181,java.awt.Container$EventTargetFilter,"array([ 8.35778433, -1.92729788])"
182,java.awt.Container$MouseEventTargetFilter,"array([ 7.30693632, -1.89694403])"
183,java.awt.Container$WakingRunnable,"array([ 3.38328855, -1.84742253])"
184,java.awt.ContainerOrderFocusTraversalPolicy,"array([ 6.58667652, -2.27632684])"
185,java.awt.Window,"array([ 6.2131465 , -2.55479156])"
186,java.awt.Cursor$1,"array([ 4.17317819, -1.52470461])"
187,java.security.PrivilegedExceptionAction,"array([ 3.96379013, -1.95363796])"
188,java.awt.Cursor$2,"array([ 3.75569597, -2.16508936])"
189,java.awt.Cursor$CursorDisposer,"array([ 6.93527058, -3.58254131])"
190,java.awt.DefaultFocusTraversalPolicy,"array([ 6.60407586, -2.83283659])"
191,java.awt.DefaultKeyboardFocusManager,"array([ 6.33754039, -2.7816279 ])"
192,java.awt.KeyboardFocusManager,"array([ 6.34383888, -2.71104968])"
193,java.beans.VetoableChangeListener,"array([ 6.07688397, -2.57329819])"
194,java.awt.KeyEventDispatcher,"array([ 7.5040948 , -2.95857254])"
195,java.awt.KeyEventPostProcessor,"array([ 7.50076509, -3.03397659])"
196,java.awt.DefaultKeyboardFocusManager$1,"array([ 4.15180716, -0.47804893])"
197,java.awt.DefaultKeyboardFocusManager$DefaultKeyboardFocusManagerSentEvent,"array([ 5.52832916, -1.40541952])"
198,java.awt.SentEvent,"array([ 5.60217591, -1.20720445])"
199,java.awt.DefaultKeyboardFocusManager$TypeAheadMarker,"array([ 3.04678656, -2.62250896])"
200,java.awt.Desktop,"array([ 4.2101787 , -3.73518974])"
201,java.io.File,"array([ 5.17621467, -3.38971686])"
202,java.awt.Desktop$Action,"array([ 4.46745754, -3.20509427])"
203,java.net.URI,"array([ 4.71700386, -3.39405714])"
204,java.awt.Dialog,"array([ 5.86008027, -2.56561117])"
205,java.awt.Dialog$ModalityType,"array([ 5.58766294, -2.20459819])"
206,java.awt.Frame,"array([ 5.97831046, -2.67726289])"
207,java.awt.Dialog$ModalExclusionType,"array([ 5.47779571, -2.34972968])"
208,java.util.List,"array([ 4.83415774, -3.05320778])"
209,java.awt.Dialog$1,"array([ 3.43618328, -1.85524832])"
210,java.awt.Dialog$1$1,"array([ 3.99659725, -0.52026888])"
211,java.awt.Dialog$2,"array([ 4.28733475, -0.84132907])"
212,java.awt.Dialog$3,"array([ 3.98262329, -1.23979517])"
213,java.awt.Dialog$4,"array([ 5.59222996, -4.51315709])"
214,java.awt.Dialog$AccessibleAWTDialog,"array([ 5.59611711, -2.86127603])"
215,java.awt.Window$AccessibleAWTWindow,"array([ 5.50145781, -2.32182089])"
216,java.awt.Dialog$WakingRunnable,"array([ 3.83986397, -1.16756169])"
217,java.awt.geom.Dimension2D,"array([ 5.93969528, -1.46383625])"
218,java.awt.DisplayMode,"array([ 7.29499619, -1.81838049])"
219,java.awt.EventDispatchThread,"array([ 4.60451862, -2.86517888])"
220,java.lang.Thread,"array([ 4.21871173, -2.56531244])"
221,java.lang.ThreadGroup,"array([ 4.51848383, -3.068724  ])"
222,java.lang.ClassLoader,"array([ 4.72667558, -3.02037756])"
223,java.util.Map,"array([ 4.8053641 , -2.94649086])"
224,java.lang.Thread$State,"array([ 4.44445629, -3.09357757])"
225,java.lang.Thread$UncaughtExceptionHandler,"array([ 4.29377273, -3.45116727])"
226,java.awt.EventDispatchThread$1,"array([ 3.9230797 , -0.55830956])"
227,java.awt.EventDispatchThread$HierarchyEventFilter,"array([ 6.90426396, -1.48623536])"
228,java.awt.EventFilter,"array([ 7.64466464, -0.8364385 ])"
229,java.awt.EventFilter$FilterAction,"array([ 5.96920864, -1.69065909])"
230,java.awt.EventDispatchThread$StopDispatchEvent,"array([ 5.5257149 , -1.54274897])"
231,java.awt.ActiveEvent,"array([6.09529697, 0.07493804])"
232,java.awt.EventQueue,"array([ 5.56992075, -1.47112125])"
233,java.awt.EventQueue$1,"array([ 3.6964907 , -2.19221564])"
234,java.lang.Void,"array([ 3.52057851, -1.93153093])"
235,java.awt.EventQueue$1AWTInvocationLock,"array([ 5.66573647, -0.5912603 ])"
236,java.awt.EventQueueItem,"array([ 4.59965879, -0.69007853])"
237,java.awt.FileDialog,"array([ 5.87444234, -2.73487957])"
238,java.io.FilenameFilter,"array([ 5.6288816 , -4.34781195])"
239,java.awt.FlowLayout,"array([ 5.80337736, -1.94404341])"
240,java.awt.FocusManager,"array([ 3.9876128 , -1.70717715])"
241,java.awt.peer.FontPeer,"array([ 7.74710314, -1.15572284])"
242,java.awt.font.LineMetrics,"array([ 5.68943318, -1.6867242 ])"
243,java.awt.font.FontRenderContext,"array([ 5.74692864, -1.85649197])"
244,java.text.CharacterIterator,"array([ 5.78738113, -1.71113618])"
245,java.awt.font.GlyphVector,"array([ 5.84800317, -1.63860654])"
246,java.awt.Font$1,"array([ 4.01958489, -2.25815341])"
247,java.awt.FontFormatException,"array([ 6.14623598, -3.85741389])"
248,java.awt.MenuBar,"array([ 6.38266485, -2.90240241])"
249,java.awt.Frame$AccessibleAWTFrame,"array([ 5.45727966, -2.30572023])"
250,java.awt.GradientPaint,"array([ 6.06036583, -1.62827145])"
251,java.awt.geom.Point2D,"array([ 5.96836242, -1.33183397])"
252,java.awt.GradientPaintContext,"array([ 6.08979147, -1.05115162])"
253,java.awt.Polygon,"array([ 5.88436605, -1.46327233])"
254,java.text.AttributedCharacterIterator,"array([ 5.44285062, -1.73152508])"
255,java.awt.Graphics2D,"array([ 6.0173419 , -1.78394467])"
256,java.awt.RenderingHints$Key,"array([ 5.63837252, -1.53795186])"
257,java.awt.image.BufferedImage,"array([ 6.06363455, -1.4609936 ])"
258,java.awt.image.BufferedImageOp,"array([ 6.50915059, -0.68482062])"
259,java.awt.image.RenderedImage,"array([ 5.89365181, -1.15782475])"
260,java.awt.image.renderable.RenderableImage,"array([ 5.9019595 , -0.99355131])"
261,java.awt.GraphicsCallback,"array([ 7.02670295, -1.81823399])"
262,java.awt.GraphicsCallback$PaintAllCallback,"array([ 7.05587178, -1.85418405])"
263,java.awt.GraphicsCallback$PaintCallback,"array([ 7.12961852, -1.99407225])"
264,java.awt.GraphicsCallback$PaintHeavyweightComponentsCallback,"array([ 6.8336135 , -1.68554313])"
265,java.awt.GraphicsCallback$PeerPaintCallback,"array([ 7.10558037, -1.88304011])"
266,java.awt.GraphicsCallback$PeerPrintCallback,"array([ 6.99968183, -1.91570353])"
267,java.awt.GraphicsCallback$PrintAllCallback,"array([ 6.92590009, -1.65765106])"
268,java.awt.GraphicsCallback$PrintCallback,"array([ 6.74911561, -1.50520212])"
269,java.awt.GraphicsCallback$PrintHeavyweightComponentsCallback,"array([ 7.04733046, -1.91138086])"
270,java.awt.GraphicsConfigTemplate,"array([ 6.52759139, -1.32881847])"
271,java.awt.GraphicsDevice,"array([ 6.69707973, -1.76420681])"
272,java.awt.GraphicsConfiguration$DefaultBufferCapabilities,"array([ 6.38925742, -1.29873565])"
273,java.awt.GraphicsEnvironment,"array([ 6.57288001, -1.70819562])"
274,java.awt.GraphicsEnvironment$1,"array([ 3.4616288 , -2.42769551])"
275,java.awt.GridBagConstraints,"array([ 5.66663195, -1.62563543])"
276,java.awt.GridBagLayout,"array([ 5.81710674, -2.00284074])"
277,java.awt.GridBagLayout$1,"array([ 5.02779087, -0.485131  ])"
278,java.awt.GridBagLayoutInfo,"array([ 4.78118438, -0.72160086])"
279,java.awt.GridLayout,"array([ 5.85753522, -1.79180159])"
280,java.awt.HeadlessException,"array([ 6.23096468, -3.7902953 ])"
281,java.lang.UnsupportedOperationException,"array([ 6.10656773, -3.57588119])"
282,java.awt.IllegalComponentStateException,"array([ 6.21551321, -3.73871794])"
283,java.lang.IllegalStateException,"array([ 6.08393548, -3.84470719])"
284,java.awt.Image$1,"array([ 7.4260682 , -2.26666728])"
285,java.awt.ImageMediaEntry,"array([ 6.85740766, -3.26400668])"
286,java.awt.MediaEntry,"array([ 6.40756618, -4.18936078])"
287,java.awt.JobAttributes,"array([ 3.95965117, -2.58923631])"
288,java.awt.JobAttributes$DefaultSelectionType,"array([ 2.91512974, -2.41600681])"
289,java.awt.JobAttributes$DestinationType,"array([ 2.92175273, -2.49569437])"
290,java.awt.JobAttributes$DialogType,"array([ 2.98330945, -2.4879684 ])"
291,java.awt.JobAttributes$MultipleDocumentHandlingType,"array([ 2.93872803, -2.76194394])"
292,java.awt.JobAttributes$SidesType,"array([ 2.91362157, -2.61130183])"
293,java.awt.KeyboardFocusManager$1,"array([ 3.66663243, -1.50352982])"
294,java.awt.KeyboardFocusManager$2,"array([ 4.14669341, -1.35330019])"
295,java.awt.KeyboardFocusManager$HeavyweightFocusRequest,"array([ 5.77570392, -0.64948273])"
296,java.awt.KeyboardFocusManager$LightweightFocusRequest,"array([ 3.12248687, -2.64502328])"
297,java.awt.Label,"array([ 5.65435647, -2.36390019])"
298,java.awt.Label$AccessibleAWTLabel,"array([ 5.48845466, -2.4265481 ])"
299,java.awt.LightweightDispatcher,"array([ 6.58950391, -1.32349421])"
300,java.awt.event.AWTEventListener,"array([ 7.64324528, -1.99964041])"
301,java.awt.LightweightDispatcher$1,"array([ 3.48600966, -2.84640714])"
302,java.awt.LightweightDispatcher$2,"array([ 4.1847001 , -1.06266776])"
303,java.awt.LightweightDispatcher$3,"array([ 4.14519582, -0.90800043])"
304,java.awt.LinearGradientPaint,"array([ 6.13038498, -1.14184425])"
305,java.awt.MultipleGradientPaint,"array([ 6.04760455, -1.10116782])"
306,java.awt.MultipleGradientPaint$CycleMethod,"array([ 5.58270127, -1.63686577])"
307,java.awt.MultipleGradientPaint$ColorSpaceType,"array([ 5.57119768, -1.69314069])"
308,java.awt.LinearGradientPaintContext,"array([ 6.82273902, -0.93518106])"
309,java.awt.MultipleGradientPaintContext,"array([ 6.441054  , -0.97414865])"
310,java.awt.List,"array([ 5.93697851, -2.75194209])"
311,java.awt.List$AccessibleAWTList,"array([ 5.64890973, -2.80299461])"
312,java.awt.List$AccessibleAWTList$AccessibleAWTListChild,"array([ 5.6505178 , -2.63917807])"
313,java.awt.MediaTracker,"array([ 5.90177107, -1.80343862])"
314,java.awt.Menu,"array([ 6.30285651, -2.96519368])"
315,java.awt.Menu$AccessibleAWTMenu,"array([ 5.39945839, -2.51552196])"
316,java.awt.MenuBar$AccessibleAWTMenuBar,"array([ 5.4993218, -2.5883509])"
317,java.awt.MenuComponent$AccessibleAWTMenuComponent,"array([ 5.55706661, -2.39007353])"
318,java.awt.ModalEventFilter,"array([ 6.66828413, -1.0758001 ])"
319,java.awt.ModalEventFilter$1,"array([ 4.81464516, -0.41824609])"
320,java.awt.ModalEventFilter$ApplicationModalEventFilter,"array([ 6.92414632, -1.10796614])"
321,java.awt.ModalEventFilter$DocumentModalEventFilter,"array([ 6.70153716, -0.88563788])"
322,java.awt.ModalEventFilter$ToolkitModalEventFilter,"array([ 6.90876054, -1.02650022])"
323,java.awt.MouseInfo,"array([ 6.46429376, -0.73899146])"
324,java.awt.PointerInfo,"array([ 6.49414068, -1.09877375])"
325,java.awt.MutableBoolean,"array([ 6.9341367 , -1.26011638])"
326,java.awt.PageAttributes,"array([ 3.63991027, -2.06529209])"
327,java.awt.PageAttributes$ColorType,"array([ 2.93048075, -1.90317507])"
328,java.awt.PageAttributes$MediaType,"array([ 2.93365432, -1.97635481])"
329,java.awt.PageAttributes$OrientationRequestedType,"array([ 2.92717836, -1.80414556])"
330,java.awt.PageAttributes$OriginType,"array([ 2.91923871, -2.06706975])"
331,java.awt.PageAttributes$PrintQualityType,"array([ 2.8672327 , -2.14050826])"
332,java.awt.Transparency,"array([ 7.36914076, -0.67516609])"
333,java.awt.PeerFixer,"array([ 7.10430256, -2.17558229])"
334,java.awt.geom.PathIterator,"array([ 6.17803631, -0.99063076])"
335,java.awt.Polygon$PolygonPathIterator,"array([ 5.99410138, -0.83824103])"
336,java.awt.PopupMenu$AccessibleAWTPopupMenu,"array([ 5.57903075, -2.72685878])"
337,java.awt.PrintGraphics,"array([ 8.69689683, -0.43019054])"
338,java.awt.PrintJob,"array([ 6.95498017, -1.45214333])"
339,java.awt.Queue,"array([ 5.53649604, -0.4460899 ])"
340,java.awt.RadialGradientPaint,"array([ 5.90814252, -1.04607648])"
341,java.awt.RadialGradientPaintContext,"array([ 6.77043242, -0.8653051 ])"
342,java.awt.geom.Line2D,"array([ 5.90195001, -1.50654491])"
343,java.util.Collection,"array([ 4.49232403, -2.22624752])"
344,java.awt.Robot,"array([ 6.75259738, -2.79899123])"
345,java.awt.Robot$1,"array([ 3.18962131, -2.02624087])"
346,java.awt.ScrollPane,"array([ 6.14474723, -2.59978957])"
347,java.awt.ScrollPane$AccessibleAWTScrollPane,"array([ 5.55167132, -2.51596272])"
348,java.awt.ScrollPane$PeerFixer,"array([ 6.79526233, -3.19189893])"
349,java.awt.ScrollPaneAdjustable,"array([ 6.56664127, -2.69299237])"
350,java.awt.Scrollbar,"array([ 6.15113211, -2.68161316])"
351,java.awt.Scrollbar$AccessibleAWTScrollBar,"array([ 5.52781204, -2.55819749])"
352,java.awt.SequencedEvent,"array([ 5.62783566, -1.30302725])"
353,java.awt.SequencedEvent$1,"array([ 4.23350266, -0.46148996])"
354,java.awt.SplashScreen,"array([ 5.35961366, -1.93402509])"
355,java.awt.SystemColor,"array([ 5.8298618 , -1.89399784])"
356,java.awt.SystemTray,"array([ 6.20642098, -3.12160753])"
357,java.awt.TrayIcon,"array([ 6.01161006, -2.89879791])"
358,java.awt.TextArea,"array([ 5.89466413, -2.75953658])"
359,java.awt.TextComponent,"array([ 6.03921413, -2.71018161])"
360,java.awt.TextArea$AccessibleAWTTextArea,"array([ 5.55394913, -2.25987984])"
361,java.awt.TextComponent$AccessibleAWTTextComponent,"array([ 5.59764801, -2.52600682])"
362,javax.swing.text.AttributeSet,"array([ 5.58794583, -1.82830693])"
363,java.awt.TextField,"array([ 6.06969311, -2.36036994])"
364,java.awt.TextField$AccessibleAWTTextField,"array([ 5.61498673, -2.57493888])"
365,java.awt.TexturePaint,"array([ 6.35585975, -1.1334091 ])"
366,java.awt.TexturePaintContext,"array([ 6.17487489, -1.27168378])"
367,java.awt.TexturePaintContext$Any,"array([ 6.30466505, -1.23804608])"
368,java.awt.TexturePaintContext$Byte,"array([ 6.1931301 , -1.17020936])"
369,java.awt.TexturePaintContext$ByteFilter,"array([ 6.42939368, -1.294919  ])"
370,java.awt.TexturePaintContext$Int,"array([ 6.16254035, -1.21689928])"
371,java.awt.dnd.peer.DragSourceContextPeer,"array([ 7.56503924, -2.72083847])"
372,java.awt.dnd.DragGestureEvent,"array([ 6.46271198, -3.0410632 ])"
373,java.awt.dnd.DragGestureRecognizer,"array([ 6.86373529, -2.9577957 ])"
374,java.awt.dnd.DragSource,"array([ 6.6104507 , -2.95606849])"
